"Firma";"Website";"Bedarf";"DL Beschreibung";"Geschäftsführung";"Gefundene E-Mails";"GF-Mail (belegt/rekonstruiert)";"Hinweis"
"Black Forest Labs";"https://blackforestlabs.ai/";"Ja";"• Frontier-KI-Labor für visuelle Intelligenz
• FLUX-Serie generativer Bildmodelle (FLUX.2 etc.)
• API-Dienste und Open-Source-Modellgewichte
• Enterprise-Lösungen mit Customization";"Robin Rombach, Andreas Blattmann, Axel Sauer (Managing Directors)";"info@blackforestlabs.ai";"";"Nur generische Mail info@ belegt (Imprint unter /legal/imprint)."
"Blockbrain GmbH";"https://blockbrain.ai/";"Vielleicht";"• Modulare KI-Plattform für Wissensmanagement (Stuttgart)
• Knowledge Bots als digitale Wissenszwillinge
• Analyse unstrukturierter Daten für regulierte Branchen (Finanz, Industrie)
• ISO-27001-zertifiziert, DSGVO- und EU-AI-Act-konform";"Antonius Gress, Nam Hai Ngo";"";"";"E-Mail im Impressum Cloudflare-verschleiert ([email protected]); keine Adresse lesbar."
"bluesolve";"https://www.bluesolve.ai/contact";"Vielleicht";"• KI-gestützte Extraktion und Visualisierung von Wissen aus strukturierten/unstrukturierten Daten (München)
• KI-Online-Konfigurator für B2B/B2C-Produkte
• Variantenmanagement und Wissenstransfer
• Intelligente Testplanung";"";"";"";"Seite leitet auf bluesolve.tech (SPA); Impressum/GF und Mails nicht zugänglich."
"Bots4You GmbH";"https://bots4you.de/";"Vielleicht";"• Sichere KI-Agenten-Plattform für Kundenkontakt und Mitarbeitende (Mudersbach)
• KI-Agenten für Telefon, E-Mail, Chat
• No-Code-Konfiguration spezialisierter Agenten
• Hosting in Deutschland/EU, DSGVO-konform";"Mervan Miran";"info@bots4you.de";"";"Nur generische Mail info@ belegt; kein persönliches Muster."
"branchly GmbH";"https://branchly.io/";"Vielleicht";"• KI-Layer für Websites (Suche, Chat, Navigator, Formulare)
• Nutzt bestehende Website-Inhalte als Wissensbasis (RAG)
• Mehrsprachige Chatbots und Intent-Erkennung
• Datenschutzkonform und barrierefrei";"Sebastian Flick, Markus Linnenberg";"hello@branchly.io";"";"Nur generische Mail hello@ belegt; kein persönliches Muster."
"brayn.io GmbH";"https://www.brayn.io/";"Vielleicht";"• Software- und KI-Beratung aus Berlin
• Individuelle Softwareentwicklung
• Implementierung von KI-Systemen zur Prozessautomatisierung
• Kunden u.a. Bosch, Telekom, Helmholtz";"André Berthold, Robert Menzlow";"info@brayn.io";"";"Nur generische Mail info@ belegt; kein persönliches Muster."
"BREOS GmbH";"https://www.breos.com/";"Vielleicht";"• KI- und Data-Analytics-Beratung seit 2003
• Data Science, Business Intelligence und digitale Geschäftsmodelle
• Entwicklung maßgeschneiderter KI-Prozesse
• Branchenübergreifend (Industrie, Logistik, Pharma, Automotive)";"";"";"";"Website nicht erreichbar (HTTP 503)."
"brighter AI";"https://www.brighter.ai/";"Ja";"• Anonymisierungslösungen für Bild-/Videodaten (Berlin)
• Deep Natural Anonymization ersetzt Gesichter und Nummernschilder
• DSGVO-konforme Nutzung personenbezogener Aufnahmen
• 2025 von Milestone übernommen";"Marian Glaeser";"hello@brighter.ai";"";"Nur generische Mail hello@ belegt (Impressum unter /de/impressum)."
"BriteLoom GmbH";"https://briteloom.ai/";"Vielleicht";"• KI-gestützte Lernplattform für Unternehmensschulungen
• Interaktive KI-Simulationen (Verhandlung, Compliance)
• Personalisierte Lernpfade und Feedback
• Virtueller Lerncoach 'Loomie'";"Marcel-André Geffé";"info@briteloom.com";"";"Impressum extern (dieter-datenschutz.de); nur generische Mail info@briteloom.com belegt."
"BSMART AI";"https://www.bsmart-ai.de/";"Vielleicht";"• Beratung für Daten- und KI-Strategie
• Maßgeschneiderte Data-Science- und ML-Lösungen
• Schulungen zu Data Science und ML
• Über 20 Projekte in fünf Branchen";"Sabayn Mirakai, Bedran Atug (Managing Directors)";"info@bsmart-it.de";"";"Nur generische Mail info@bsmart-it.de belegt; kein persönliches Muster."
"Buildsimple (ISR Information Products)";"https://buildsimple.com/";"Ja";"• Cloud-Plattform für Intelligente Dokumentenverarbeitung (IDP)
• Dokumentklassifizierung und automatische Datenextraktion
• Anonymisierung und Betrugserkennung mittels ML/GenAI
• SaaS für Versicherung, Bank, Healthcare, Logistik";"Vorstand: André Vogt (Sprecher), Manfred Merßmann; Aufsichtsratsvorsitzender: Dr. Johannes Fues (ISR Information Products AG)";"info@buildsimple.de";"";"Impressum der ISR Information Products AG; nur generische Mail info@ belegt."
"Caidera GmbH";"https://www.caidera.ai/";"Vielleicht";"• KI-gestützte Marketing-Compliance-Plattform für Life Sciences
• Compliance Engine für Echtzeit-Prüfung von Inhalten
• Content Studio zur Erstellung konformer Inhalte
• Integration in Veeva Vault, SharePoint, Salesforce";"Max Sieg, Daniel Fernau";"max.sieg@caidera.ai; daniel.fernau@caidera.ai";"max.sieg@caidera.ai, daniel.fernau@caidera.ai";"Persönliche GF-Mails wörtlich im Impressum belegt."
"Cambrion GmbH";"https://www.cambrion.ai/";"Ja";"• KI-Plattform zur automatisierten Dokumentenverarbeitung
• Umwandlung unstrukturierter Dokumente in strukturierte Daten
• Integrierte OCR für gedruckte und handschriftliche Inhalte
• EU-Cloud, ISO 27001, für Logistik und Automotive";"Dr. Daniel Tiarks, Daniel Gamber, Lars Kornhoff (Managing Directors)";"hello@cambrion.ai";"";"Nur generische Mail hello@ belegt; kein persönliches Muster."
"CANCOM GmbH";"https://www.cancom.de/loesungen/it-themen/ai-loesungen/";"Vielleicht";"• IT-Dienstleister und Digitalanbieter für digitale Transformation
• Cloud, Security, Netzwerk, Managed Services und KI-Lösungen
• Positioniert sich als AI-Enabler mit End-to-End-Implementierung";"Vorstand: Rüdiger Rath (CEO), Thomas Stark (CFO) (CANCOM SE)";"";"";"Keine E-Mail im Impressum angegeben."
"Brainbox GmbH (Casablanca.AI)";"https://casablanca.ai/";"Ja";"• KI-Software für natürlichen Blickkontakt in Videokonferenzen
• Echtzeit-Bildverarbeitung korrigiert Augen-/Kopfbewegungen
• Lokale Verarbeitung, kompatibel mit Zoom, Teams, Meet";"Carsten Kraus";"info@casablanca.ai";"";"Nur generische Mail info@ belegt; kein persönliches Muster."
"Cauliflower";"https://www.cauliflower.ai/";"Vielleicht";"• Insight-Betriebssystem für Marktforschung (Hamburg, DSGVO)
• Strukturiert Rohdaten und analysiert offene Antworten per KI-Textanalyse
• KI-Agent für kontextbewusste Studienauswertung, Dashboards, PPT-Export";"Lukas Jonathan Waidelich";"info@cauliflower.ai";"";"Nur generische Mail info@ belegt; kein persönliches Muster."
"Cerpro GmbH";"https://cerpro.io/";"Ja";"• Software zur Digitalisierung der Qualitätssicherung in der Fertigung
• Produkt QualiSpec extrahiert Merkmale aus technischen Zeichnungen (PDF, DXF)
• Automatisierte Erstellung von Prüfberichten (VDA, EMPB) für KMU-Metall/Maschinenbau";"Frederik Frei";"info@cerpro.io";"";"Impressum: Vertreten durch Frederik Frei. Nur info@-Adresse, kein Muster fuer GF-Mail belegbar."
"CircoVision UG";"https://circovision.com/";"Ja";"• KI-Lösungen für die Kreislaufwirtschaft (Borchen)
• Computer Vision zur Bewertung von Produkttypen und Materialzuständen
• Forschung, Prototyping und Entwicklung maßgeschneiderter KI-Systeme";"Wilhelm Klat";"klat@circovision.com";"klat@circovision.com";"Impressum (/legal): Vertreten durch Wilhelm Klat, persoenliche Mail klat@circovision.com woertlich belegt."
"Circus SE";"https://www.circus-group.com/";"Ja";"• Entwickelt KI-Robotik zur autonomen Lebensmittelproduktion
• Autonomes Robotersystem CA-1 und KI-Betriebssystem CircusOS
• Betreibt globales Netzwerk autonomer Systeme, auch Defence-Lösungen";"Nikolas Bullwinkel";"contact@circus-group.com; press@circus-group.com; sales@circus-group.com";"";"Imprint: Managing Director Nikolas Bullwinkel. Nur Funktions-Adressen, kein persoenliches Muster."
"Clinomic";"https://www.clinomic.ai/";"Ja";"• Digitale Plattform (Mona) für die Intensivmedizin
• Patientenmanagement, TeleICU, Business Analytics und KI-Tools
• Von Intensivmedizinern gegründet, ISO 27001/13485, MDR-zertifiziert";"Prof. Dr. Lukas Martin, Dr. Arne Peine";"info@clinomic.ai";"";"Imprint (Clinomic Medical GmbH): Managing Directors Prof. Dr. Lukas Martin, Dr. Arne Peine. Nur info@, kein Muster."
"Cloudflight";"https://www.cloudflight.io/";"Vielleicht";"• Europäisches Softwareentwicklungs- und Digitalberatungsunternehmen
• Software Engineering, Cloud, Digital Commerce, Data & AI Services
• Strategischer Fokus auf Agentic AI und branchenspezifische Lösungen";"Cloudflight GmbH: André Holhozinskyj; Cloudflight Germany GmbH: André Holhozinskyj, Wassilios Alexopoulos";"info@cloudflight.io";"";"Sammelimpressum mehrerer Konzerngesellschaften. Nur info@cloudflight.io, kein persoenliches Muster."
"CloudPal (Pico Ventures GmbH)";"https://www.cloudpal.ai/";"Ja";"• KI-Plattform zur Automatisierung der Dokumentation in der Sozialwirtschaft
• Voice App für Spracheingabe und automatisierte Berichtsgenerierung
• KI-Entwicklung, -Beratung und EU-AI-Act-konforme Schulungen";"Nicola Ritter";"info@cloudpal.ai";"";"Impressum: Vertretungsberechtigte Nicola Ritter. Nur info@, kein Muster."
"CLOUDSUPPLIES Intellimation GmbH";"https://cloudsupplies.de/";"Vielleicht";"• IT-Automatisierung mit dem Produkt MILTON (Hamburg)
• Kombiniert IT-Service-Monitoring und KI zur automatischen Ticketlösung
• Professional Services, Monitoring und Reporting";"Thomas Müller, Olaf Schaefers";"info@cloudsupplies.de";"";"Impressum: Geschaeftsfuehrer Thomas Mueller und Olaf Schaefers. Nur info@, kein Muster."
"coac GmbH";"https://www.coac.de/";"Vielleicht";"• Beratungs- und Softwareunternehmen für datengetriebene Innovationen
• Consulting in Datenanalyse, KI, Machine Learning und Architektur
• Eigene Produkte (SAIFTY, SEP, MOSAIK) mit KI/ML-Anteil";"Martin Prinz";"info@coac.de";"";"Impressum (/imprint-mr): Authorized representative / Vertretungsberechtigt Martin Prinz. Nur info@, kein Muster."
"Coachbot AI GmbH";"https://coachbot.ai/";"Vielleicht";"• KI-gestützte Coaching-Plattform für Organisationen und HR-Teams
• Conversational-AI-Begleiter für Onboarding und Führungskräfteentwicklung
• Privacy by Design, DSGVO- und EU-AI-Act-konform";"Lewin Keller";"support@coachbot.ai";"";"Imprint (/legal/imprint): Managing Director Lewin Keller. Nur support@, kein persoenliches Muster."
"Cogitaris GmbH";"https://www.cogitaris.de/";"Vielleicht";"• Unabhängiges Marktforschungsinstitut (Mainz, seit 2012)
• Full-Service-Studien zu Kunden-, Marken- und Mitarbeiterzufriedenheit
• Eigene Produkte: Reporti (KI-Dashboards), Voices (KI-Textanalyse)";"Aydin Nasseri";"kontakt@cogitaris.de; anfrage@cogitaris.de";"";"Impressum: Geschaeftsfuehrer Aydin Nasseri. Nur Funktions-Adressen, kein persoenliches Muster."
"collect Artificial Intelligence GmbH";"https://collect.ai/";"Ja";"• KI-basiertes digitales Forderungsmanagement (Hamburg, Aareal-Bank-Tochter)
• Selbstlernende KI für adaptive Inkasso-Strategien und Smart Payment
• Automatisierte Kommunikation über E-Mail, SMS, Messenger";"Raphael Ehret";"info@collect.ai";"";"Imprint: Managing Director Raphael Ehret. Nur info@, kein Muster."
"collective mind GmbH";"https://www.collectivemind.de/";"Ja";"• KI/ML-Softwareentwicklung und Consulting (Leonberg)
• Eigene AI-Plattform (SDK) für Rapid Application Development von KI-Apps
• Techstack mit TensorFlow/PyTorch, ML-Stack und Computer Vision";"Armin Bär, Artur Hefner, Joshua Raabe";"kontakt@comi.de";"";"collectivemind.de leitet auf comi.de weiter. Geschaeftsfuehrer Armin Baer, Artur Hefner, Joshua Raabe. Nur kontakt@comi.de, kein Muster."
"Comma Soft AG";"https://comma-soft.com/";"Ja";"• Beratung für digitale Transformation, IT-Sicherheit, Data Analytics
• Eigene KI-Plattform 'Alan' und Analytics-Lösung INFONEA
• Generative-KI-Beratung und Assistenzsysteme
• Branchenlösungen für Industrie, Versicherung, Pharma";"Benjamin Schulte";"info@comma-soft.com";"";"Impressum: Vertretungsberechtigter Vorstand Benjamin Schulte. Nur info@, kein Muster."
"CompanyMind GmbH & Co. KG";"https://www.companymind.de/";"Vielleicht";"• Systemhaus für angewandte KI und SAP-Individualentwicklung
• Individualsoftware mit Machine-Learning-Algorithmen
• KI-Potenzialworkshops und branchenspezifische KI-Beratung
• Branchen: Food, Anlagenbau, Produktion, Energie";"Vorstand der cimt AG: Dr. Thorsten Kuhlmann, Arnt Zimmermann, Mehrdad Abdipour";"info@cimt-ag.de; harald.schallner@cimt-ag.de";"thorsten.kuhlmann@cimt-ag.de (rekonstruiert)";"companymind.de nutzt Impressum der cimt AG (Domain cimt-ag.de). Muster vorname.nachname@cimt-ag.de belegt durch harald.schallner@cimt-ag.de; GF-Mail fuer Vorstand Dr. Thorsten Kuhlmann rekonstruiert. Unsicher, da Produkt-/Konzernstruktur."
"Complero GmbH";"https://www.complero.com/";"Vielleicht";"• Softwareanbieter für Kundendatenmanagement
• KI-basierte, vollautomatische Aktualisierung von Kontaktdaten
• DSGVO-Einwilligungsmanagement und Transparenztool DataPilot
• DSGVO-konform, deutsche Server";"Tobias Hamann, Steffen Schneider";"info@complero.com";"";"Impressum: Vertreten durch Tobias Hamann, Steffen Schneider. Nur info@, kein Muster."
"CONNECTIVISTEN GmbH";"https://connectivisten.de/";"Vielleicht";"• Software-Agentur für Web- und Mobile-Apps
• Maßgeschneiderte KI-Lösungen und Backend-Systeme (Node.js, Python)
• Cross-Plattform (React Native, Flutter)
• Projekt- oder Outsourcing-Partner, Fokus E-Commerce";"";"";"";"Nicht erreichbar: SSL-Zertifikatsfehler bei curl (Exit 60), WebFetch liefert HTTP 503."
"ControlExpert GmbH";"https://www.controlexpert.com/";"Ja";"• Digitalisierung/Automatisierung im Kfz-Schadenmanagement
• Über 18 Mio. Belege jährlich, teils vollautomatisiert
• Eigene F&E: Deep Learning, automatische Bilderkennung, Telematik
• 150+ eigene KI-Modelle, Patent im Bereich Bilderkennung";"Sebastian Lins, Andreas Decker";"info@controlexpert.com";"";"Impressum (/de-de/kontakt/impressum): Geschaeftsfuehrer Sebastian Lins und Andreas Decker. Mail als info(at)controlexpert.com belegt. Kein persoenliches Muster."
"conventic GmbH";"https://www.conventic.com/";"Vielleicht";"• Beratung und Umsetzung von KI-Projekten zu Festpreisen
• Modulare Angebote: KI-Check, KI-Pilot, Chief AI Officer as a Service
• Chatbots und Prüfwerkzeuge für dokumentenbasierte Prozesse
• Datenqualitäts-Check und KI-Schulungen";"Bernd Maurer";"hello@conventic.com; b.maurer@conventic.com";"b.maurer@conventic.com";"Impressum: Geschaeftsfuehrer Bernd Maurer; persoenliche Mail b.maurer@conventic.com woertlich (schema.org) belegt."
"Cortea AI";"https://www.cortea.ai/de";"Vielleicht";"• KI-Agenten für Abschluss- und IT-Prüfungen (Wirtschaftsprüfer)
• Automatisierte Risikoanalyse, Compliance-Checklisten (IFRS, HGB)
• Validierung von Abschlussdaten mit Audit Trail
• Prüfungsstandard-konform (ISA 315, IDW PS)";"Valentin Neumann, Philipp Hövelmann";"contact@cortea.ai";"";"Imprint (Automated Systems GmbH): Managing Directors Valentin Neumann, Philipp Hoevelmann. Nur contact@, kein Muster."
"Covision Lab";"https://www.covisionlab.com/";"Ja";"• Computer-Vision- und KI-Forschung/-Entwicklung (Brixen, IT)
• Ausgelagertes R&D-Team für industrielle CV-Lösungen
• Deep Learning, Embedded Vision, 3D-Sensing
• Spin-offs: visuelle Inspektion (Metalle), 3D-Digital-Twins";"";"";"";"Impressum-Seite (/imprint) rein JS-gerendert (Webflow/React), Inhalt via curl+WebFetch nicht extrahierbar; keine Daten belegbar."
"Curiosity";"https://curiosity.ai/";"Vielleicht";"• KI-Plattform, die Unternehmensdaten in Knowledge-Layer wandelt
• Context-Graph zur Vernetzung fragmentierter Daten
• KI-Apps für Knowledge Management, Support, Engineering, QC
• Zielbranchen: Luftfahrt, Energie, Fertigung, Pharma";"Rafael Fernandes de Oliveira, Dr. Leon Zucchini";"hello@curiosity.ai";"";"Aus /imprint: 'Represented by: Rafael Fernandes de Oliveira, Dr. Leon Zucchini'. Nur generische Mail hello@curiosity.ai, kein persoenliches Muster belegt."
"CYNEFY GmbH";"https://cynefy.com/";"Vielleicht";"• IT-Dienstleister aus Regensburg (Managed Services, Security)
• Datenanalyse und KI zur Optimierung von Geschäftsmodellen
• Softwareentwicklung, Reporting, Datenbanken (Cloud/on-premise)
• IT-Strategie und Informationssicherheit";"Stefan Lohner";"backoffice@cynefy.de";"";"Impressum: 'Geschäftsführung: Stefan Lohner', Mail backoffice@cynefy.de. Kein persoenliches Muster belegt."
"D3 Data Services GmbH";"https://d3-data.com/";"Vielleicht";"• Beratung für Data Science und künstliche Intelligenz
• Datenbereinigung, Analyse und Visualisierung
• Entwicklung von Algorithmen und Software
• KI-basierte Lösungen für KMU";"Jonas Rathke, Johannes Körner";"info@d3-data.com";"";"Impressum (JS-Modal, via WebFetch): Geschäftsführer Jonas Rathke, Johannes Körner; Mail info@d3-data.com. Kein persoenliches Muster."
"DAIN Studios";"http://www.dainstudios.com/";"Vielleicht";"• Deutsch-finnische Data- & AI-Beratung (Berlin, München, Helsinki)
• Data- und AI-Strategie, Agentic AI, generative KI
• Data Science und Machine-Learning-Lösungen, Datenarchitektur
• Data-/AI-Schulungen";"Dirk Hofmann";"dirk.hofmann@dainstudios.com, ulla.kruhse-lehtonen@dainstudios.com, saara.hyvonen@dainstudios.com, info@dainstudios.com";"dirk.hofmann@dainstudios.com";"GF Dirk Hofmann (Impressum). Kontaktseite listet persoenliche Mails im Muster vorname.nachname@dainstudios.com; GF-Mail woertlich belegt."
"damedic GmbH";"https://www.damedic.ai/";"Ja";"• Erlösmanagement für Krankenhäuser
• CodeSure: KI-gestützte Kodierung von Patientenfällen
• CodeReview und ClaimGuard (MD-Prüfungen)
• Kombination aus KI-Software und Fachexperten";"Dr. med. Rupprecht Milojcic, Dr. Lukas Gilz";"info@damedic.ai, datenschutz@damedic.ai";"";"Aus /legal (Imprint): 'Vertreten durch die Geschäftsführer Dr. med. Rupprecht Milojcic und Dr. Lukas Gilz'. Nur generische Mails."
